rank_mi,rank_t,freq,Freq(L),mi,t,collocate
11833,1126,8,7,3.5122,2.580526,想不到/l
9789,963,9,7,3.8962,2.798514,沙发/nz
9787,493,18,7,3.8962,3.957697,脖子/n
9736,790,11,7,3.9227,3.097924,讲话/n
6379,559,15,7,4.3701,3.685699,欧阳/ns
6378,290,29,7,4.3701,5.124757,叹/v
11777,996,9,7,3.5401,2.742098,结束/v
11562,1114,8,7,3.5628,2.589074,向前/t
9832,320,28,7,3.8556,4.925961,一口气/i
11844,1001,9,7,3.4957,2.734039,傍晚/t
11839,656,14,7,3.5051,3.412099,椅子/n
9866,675,13,7,3.8227,3.350729,空中/s
6395,1186,7,7,4.3701,2.517812,芙娜/nrt
12899,928,10,7,3.3345,2.848798,其他/r
8869,1194,7,7,4.2706,2.508673,徘徊/v
12047,1324,7,7,3.3701,2.389872,慧/nr
8840,765,11,7,4.306,3.148954,不远/d
12910,588,16,7,3.3257,3.601058,狗/n
11798,754,12,7,3.5288,3.163976,蕙/ng
9847,1086,8,7,3.8466,2.631816,朦胧/a
9592,1074,8,7,3.9778,2.648912,神甫/nr
9795,884,10,7,3.8847,2.948194,紧张/a
9794,883,10,7,3.8847,2.948194,老板/n
11361,745,12,7,3.6697,3.191894,摇头/v
13221,600,16,7,3.1803,3.558746,儿子/n
8889,565,15,7,4.2326,3.666971,火车/n
13289,814,12,7,3.1222,3.06626,还要/c
13220,1057,9,7,3.1825,2.669563,纸/n
13278,510,19,7,3.1423,3.865227,男人/n
13351,895,11,7,3.0747,2.922963,白/a
13328,570,17,7,3.1001,3.64225,水/n
13333,258,38,7,3.0945,5.442722,住/v
13921,699,14,7,3.0278,3.282861,希望/v
42,797,10,6,5.5221,3.093465,蓝/a
13923,439,23,6,3.0233,4.205973,新/a
8891,864,10,6,4.2326,2.994069,街道/n
13310,1073,9,6,3.1138,2.653444,空气/n
13243,566,17,6,3.1538,3.659842,可怜/v
5552,678,12,6,4.8676,3.345447,丛中/f
13353,430,23,6,3.0735,4.226139,如/v
11401,1277,7,6,3.6539,2.435565,世钧/nr
13090,732,13,6,3.2126,3.216612,腿/n
12014,450,21,6,3.4049,4.149933,一块/m
9603,956,9,6,3.9551,2.806574,弟弟/n
11807,917,10,6,3.5221,2.887027,爹/n
12897,429,22,6,3.3377,4.226481,轻轻/d
12895,784,12,6,3.3404,3.122098,火/n
9738,792,11,6,3.9227,3.097924,一顿/m
12898,476,20,6,3.3345,4.028809,那天/r
11498,1109,8,6,3.6153,2.597623,走廊/n
11407,484,19,6,3.6408,4.009445,年轻/a
11349,982,9,6,3.6821,2.766277,爱情/n
13241,1189,8,6,3.1607,2.512139,屋子/n
8845,857,10,6,4.2998,3.001715,老头儿/n
12960,299,32,6,3.2933,5.079843,一条/m
9788,962,9,6,3.8962,2.798514,醒来/v
9604,957,9,6,3.9551,2.806574,低着头/v
8842,767,11,6,4.306,3.148954,某/r
11790,1300,7,6,3.5336,2.417288,往往/t
11793,1303,7,6,3.5336,2.417288,牌/n
9859,889,10,6,3.8341,2.940548,星期/t
11269,300,30,6,3.7692,5.075521,发/v
9554,1230,7,6,4.0076,2.481258,调子/n
9556,1232,7,6,4.0076,2.481258,工人/n
9548,950,9,6,4.0165,2.814633,两年/m
9203,716,12,6,4.0482,3.254711,呼吸/v
9192,787,11,6,4.0747,3.119794,贵志/n
8925,657,13,6,4.2126,3.411082,两眼/m
9894,1094,8,6,3.7852,2.623268,身影/n
9540,163,54,6,4.027,6.897705,发生/v
12990,1338,7,6,3.2706,2.371595,关上/s
9728,1235,7,6,3.9296,2.472119,谈到/v
11829,443,21,6,3.5145,4.181589,受/v
